iter	Passed	Remaining
0	140	140223
1	141	70502
2	142	47194
3	142	35533
4	143	28537
5	143	23835
6	144	20482
7	145	18012
8	146	16078
9	146	14530
10	147	13259
11	148	12219
12	149	11326
13	149	10554
14	150	9875
15	151	9288
16	151	8758
17	151	8287
18	152	7871
19	153	7507
20	153	7178
21	154	6866
22	154	6580
23	155	6316
24	155	6082
25	156	5868
26	157	5671
27	158	5486
28	158	5309
29	159	5150
30	159	4992
31	160	4843
32	160	4713
33	161	4587
34	162	4467
35	162	4356
36	163	4248
37	163	4145
38	164	4047
39	164	3952
40	165	3870
41	166	3787
42	166	3711
43	167	3636
44	167	3563
45	168	3494
46	169	3427
47	169	3363
48	170	3301
49	170	3242
50	171	3184
51	171	3129
52	172	3077
53	172	3026
54	173	2976
55	173	2929
56	174	2884
57	174	2839
58	175	2796
59	175	2755
60	176	2715
61	176	2677
62	177	2639
63	177	2602
64	178	2566
65	178	2532
66	179	2499
67	179	2463
68	180	2432
69	180	2402
70	181	2372
71	181	2344
72	182	2316
73	182	2289
74	183	2263
75	183	2236
76	184	2210
77	184	2186
78	185	2163
79	186	2140
80	186	2117
81	187	2094
82	187	2072
83	188	2051
84	188	2028
85	188	2007
86	189	1985
87	189	1966
88	190	1946
89	190	1928
90	191	1910
91	191	1892
92	192	1875
93	192	1858
94	193	1842
95	193	1825
96	194	1812
97	195	1798
98	196	1784
99	196	1769
100	197	1754
101	197	1737
102	197	1722
103	198	1708
104	198	1694
105	199	1681
106	199	1667
107	200	1654
108	200	1641
109	201	1628
110	201	1615
111	202	1603
112	202	1590
113	203	1579
114	203	1567
115	204	1554
116	204	1544
117	205	1533
118	205	1521
119	206	1510
120	206	1500
121	207	1490
122	207	1478
123	207	1468
124	208	1458
125	208	1448
126	209	1439
127	209	1428
128	210	1420
129	210	1411
130	211	1402
131	211	1393
132	212	1384
133	212	1375
134	213	1367
135	213	1359
136	214	1351
137	214	1342
138	215	1334
139	215	1326
140	216	1318
141	216	1310
142	217	1302
143	217	1295
144	218	1288
145	218	1280
146	219	1273
147	219	1265
148	220	1258
149	220	1251
150	221	1244
151	221	1237
152	222	1231
153	222	1224
154	223	1218
155	224	1211
156	224	1205
157	225	1199
158	225	1193
159	226	1188
160	226	1181
161	227	1175
162	227	1169
163	228	1163
164	228	1157
165	229	1152
166	229	1146
167	230	1140
168	230	1135
169	231	1129
170	231	1124
171	232	1118
172	232	1113
173	233	1107
174	233	1102
175	234	1097
176	234	1091
177	235	1087
178	235	1082
179	236	1077
180	236	1071
181	237	1066
182	237	1061
183	238	1056
184	238	1051
185	239	1047
186	239	1042
187	240	1038
188	243	1045
189	244	1040
190	244	1036
191	245	1031
192	245	1026
193	246	1022
194	246	1018
195	247	1014
196	247	1010
197	248	1006
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	985
203	251	981
204	251	976
205	252	972
206	252	968
207	253	964
208	253	961
209	254	957
210	255	953
211	255	950
212	256	946
213	256	942
214	257	939
215	257	935
216	258	932
217	258	928
218	259	925
219	259	921
220	260	918
221	260	914
222	261	910
223	261	907
224	262	904
225	263	901
226	263	897
227	264	894
228	264	891
229	265	887
230	265	884
231	266	881
232	266	878
233	267	875
234	267	872
235	268	868
236	268	865
237	269	862
238	270	860
239	270	856
240	271	853
241	271	850
242	272	848
243	272	844
244	273	841
245	273	839
246	274	836
247	274	833
248	275	830
249	275	827
250	276	824
251	276	821
252	277	818
253	277	815
254	278	812
255	278	810
256	279	807
257	279	804
258	280	801
259	280	799
260	281	796
261	281	793
262	282	791
263	282	788
264	283	785
265	283	783
266	284	780
267	284	778
268	285	775
269	285	773
270	286	770
271	287	768
272	287	765
273	288	763
274	288	760
275	289	758
276	289	756
277	290	753
278	290	751
279	291	748
280	291	746
281	292	743
282	292	741
283	293	739
284	293	736
285	294	734
286	294	731
287	295	729
288	295	727
289	296	724
290	296	722
291	297	720
292	297	718
293	298	715
294	298	714
295	299	712
296	300	710
297	300	708
298	301	705
299	301	703
300	302	701
301	302	699
302	303	697
303	303	695
304	304	693
305	304	691
306	305	689
307	306	687
308	306	685
309	307	683
310	307	681
311	308	679
312	308	677
313	309	675
314	309	673
315	310	672
316	310	670
317	311	668
318	312	666
319	312	664
320	313	662
321	313	660
322	314	658
323	314	657
324	315	655
325	316	653
326	316	651
327	317	649
328	317	647
329	318	645
330	318	644
331	319	642
332	319	640
333	320	638
334	320	636
335	321	635
336	321	633
337	322	631
338	323	629
339	323	628
340	324	626
341	324	625
342	325	623
343	326	621
344	326	620
345	327	618
346	327	616
347	328	614
348	328	613
349	329	611
350	329	609
351	330	607
352	330	605
353	330	603
354	331	602
355	331	600
356	332	598
357	333	597
358	333	595
359	334	593
360	334	592
361	335	590
362	335	588
363	336	587
364	336	585
365	336	583
366	337	581
367	337	580
368	338	578
369	338	576
370	339	575
371	339	573
372	340	572
373	340	570
374	341	569
375	341	567
376	342	566
377	343	564
378	343	563
379	344	561
380	344	559
381	345	558
382	345	556
383	346	555
384	346	553
385	347	552
386	347	550
387	348	548
388	348	547
389	348	545
390	349	544
391	349	542
392	350	541
393	350	539
394	351	538
395	351	536
396	352	535
397	352	533
398	353	531
399	353	530
400	354	528
401	354	527
402	355	526
403	355	524
404	356	523
405	356	521
406	357	520
407	357	518
408	358	517
409	358	515
410	359	514
411	359	513
412	359	511
413	360	510
414	360	508
415	361	507
416	361	505
417	362	504
418	362	502
419	363	501
420	363	500
421	364	498
422	364	497
423	365	496
424	365	494
425	366	493
426	366	491
427	367	490
428	367	489
429	367	487
430	368	486
431	368	485
432	369	483
433	369	482
434	370	481
435	370	479
436	371	478
437	372	477
438	372	476
439	373	475
440	373	473
441	374	472
442	374	471
443	375	470
444	375	468
445	376	467
446	376	466
447	377	464
448	377	463
449	378	462
450	378	461
451	379	459
452	379	458
453	380	457
454	380	456
455	381	454
456	381	453
457	382	452
458	382	451
459	383	449
460	383	448
461	384	447
462	384	446
463	385	445
464	385	443
465	386	442
466	386	441
467	387	440
468	387	439
469	388	437
470	388	436
471	389	435
472	389	434
473	390	432
474	390	431
475	391	430
476	391	429
477	392	428
478	392	426
479	392	425
480	393	424
481	393	423
482	394	422
483	394	420
484	395	419
485	395	418
486	396	417
487	396	416
488	397	415
489	397	413
490	398	412
491	398	411
492	399	410
493	399	409
494	400	408
495	401	407
496	401	406
497	402	405
498	402	404
499	403	403
500	403	402
501	404	401
502	404	400
503	405	398
504	405	397
505	406	396
506	407	395
507	407	394
508	408	393
509	408	392
510	409	391
511	409	390
512	410	389
513	410	388
514	411	387
515	411	386
516	412	385
517	412	384
518	413	383
519	413	382
520	414	380
521	414	379
522	415	378
523	415	377
524	416	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	419	369
532	420	368
533	420	367
534	421	366
535	421	365
536	422	363
537	422	362
538	423	361
539	423	360
540	423	359
541	424	358
542	425	357
543	425	356
544	425	355
545	426	354
546	426	353
547	427	352
548	427	351
549	428	350
550	428	349
551	429	348
552	429	347
553	430	346
554	430	345
555	431	344
556	431	343
557	432	342
558	432	341
559	433	340
560	433	339
561	434	338
562	434	337
563	435	336
564	435	335
565	436	334
566	436	333
567	436	332
568	437	331
569	437	330
570	438	329
571	438	328
572	439	327
573	439	326
574	440	325
575	440	324
576	441	323
577	441	322
578	442	321
579	442	320
580	443	319
581	443	318
582	444	317
583	444	316
584	445	315
585	445	314
586	446	313
587	446	312
588	447	312
589	447	311
590	448	310
591	448	309
592	449	308
593	449	307
594	450	306
595	450	305
596	451	304
597	451	303
598	452	302
599	452	301
600	452	300
601	453	299
602	453	298
603	454	297
604	454	296
605	455	296
606	455	295
607	456	294
608	456	293
609	457	292
610	457	291
611	458	290
612	458	289
613	459	288
614	459	287
615	460	286
616	460	285
617	461	284
618	461	284
619	462	283
620	462	282
621	462	281
622	463	280
623	463	279
624	464	278
625	464	277
626	465	276
627	465	275
628	466	275
629	466	274
630	467	273
631	467	272
632	468	271
633	469	270
634	469	269
635	470	269
636	470	268
637	471	267
638	471	266
639	472	265
640	473	264
641	473	264
642	474	263
643	474	262
644	475	261
645	475	260
646	476	259
647	476	258
648	477	258
649	477	257
650	478	256
651	478	255
652	478	254
653	479	253
654	479	252
655	480	251
656	480	251
657	481	250
658	481	249
659	482	248
660	482	247
661	483	246
662	483	245
663	484	244
664	484	244
665	485	243
666	485	242
667	486	241
668	486	240
669	487	239
670	487	239
671	488	238
672	488	237
673	489	236
674	489	235
675	490	235
676	491	234
677	491	233
678	492	232
679	492	231
680	492	230
681	493	230
682	493	229
683	494	228
684	494	227
685	495	226
686	495	225
687	496	225
688	496	224
689	497	223
690	497	222
691	498	221
692	498	220
693	499	220
694	499	219
695	500	218
696	500	217
697	501	216
698	501	216
699	502	215
700	502	214
701	503	213
702	503	212
703	504	212
704	504	211
705	505	210
706	505	209
707	506	208
708	506	207
709	507	207
710	507	206
711	508	205
712	508	204
713	509	203
714	509	203
715	510	202
716	510	201
717	511	200
718	511	199
719	512	199
720	512	198
721	512	197
722	513	196
723	513	195
724	514	195
725	514	194
726	515	193
727	516	192
728	516	191
729	516	191
730	517	190
731	517	189
732	518	188
733	518	188
734	519	187
735	519	186
736	520	185
737	520	184
738	521	184
739	521	183
740	522	182
741	522	181
742	523	180
743	523	180
744	524	179
745	524	178
746	525	177
747	525	177
748	526	176
749	526	175
750	527	174
751	527	173
752	528	173
753	528	172
754	529	171
755	529	170
756	530	170
757	530	169
758	531	168
759	531	167
760	532	167
761	532	166
762	533	165
763	533	164
764	534	164
765	534	163
766	535	162
767	535	161
768	536	161
769	536	160
770	537	159
771	537	158
772	537	157
773	538	157
774	538	156
775	539	155
776	539	154
777	540	154
778	540	153
779	541	152
780	541	151
781	542	151
782	542	150
783	543	149
784	543	148
